ID,Data Point,Column Name,Category,Sub Category,SF3 Variable
67,Vehicles per Household Renter Occupied No Vehicles,vehicles_renterocc_novehicle,Transportation,Vehicles,H044010
68,Vehicles per Household Renter Occupied 1 Vehicle,vehicles_renterocc_1vehicle,Transportation,Vehicles,H044011
69,Vehicles per Household Renter Occupied 2 Vehicles,vehicles_renterocc_2vehicles,Transportation,Vehicles,H044012
70,Vehicles per Household Renter Occupied 3 Vehicles,vehicles_renterocc_3vehicles,Transportation,Vehicles,H044013
71,Vehicles per Household Renter Occupied 4 Vehicles,vehicles_renterocc_4vehicles,Transportation,Vehicles,H044014
72,Vehicles per Household Renter Occupied 5 Vehicles,vehicles_renterocc_5+vehicles,Transportation,Vehicles,H044015
73,Total Foreign Born Place of Birth Series,foreignborn_total,Population,Diversity,PCT019001
74,Europe,fb_europe,Population,Diversity,PCT019002
75,"Europe, Northern Europe",fb_eur_northern,Population,Diversity,PCT019003
76,"Europe, Northern Europe, Ireland",fb_eur_n_ireland,Population,Diversity,PCT019005
77,"Europe, Northern Europe, UK",fb_eur_n_uk,Population,Diversity,PCT019004
78,"Europe, Northern Europe, Other",fb_eur_n_other,Population,Diversity,PCT019007
79,"Europe, Western Europe ",fb_eur_western,Population,Diversity,PCT019008
80,"Europe, Western Europe, Austria",fb_eur_w_austria,Population,Diversity,PCT019009
81,"Europe, Western Europe, France",fb_eur_w_france,Population,Diversity,PCT019010
82,"Europe, Western Europe, Germany",fb_eur_w_germany,Population,Diversity,PCT019011
83,"Europe, Western Europe, Netherlands",fb_eur_w_netherlands,Population,Diversity,PCT019012
84,"Europe, Western Europe, Other",fb_eur_w_other,Population,Diversity,PCT019013
85,"Europe, Southern Europe",fb_eur_southern,Population,Diversity,PCT019014
86,"Europe, Southern Europe, Greece",fb_eur_s_greece,Population,Diversity,PCT019015
87,"Europe, Southern Europe, Italy",fb_eur_s_italy,Population,Diversity,PCT019016
88,"Europe, Southern Europe, Portugal",fb_eur_s_portugal,Population,Diversity,PCT019017
89,"Europe, Southern Europe, Spain",fb_eur_s_spain,Population,Diversity,PCT019018
90,"Europe, Southern Europe, Other",fb_eur_s_other,Population,Diversity,PCT019019
91,"Europe, Eastern Europe",fb_eur_eastern,Population,Diversity,PCT019020
92,"Europe, Eastern Europe, Belarus",fb_eur_e_belarus,Population,Diversity,PCT019025
93,"Europe, Eastern Europe, Bosnia and Herzegovina",fb_eur_e_bosniaandherzegovina,Population,Diversity,PCT019028
94,"Europe, Eastern Europe, Czechoslovakia (Czech Republic and Slovakia)",fb_eur_e_czechoslovakia,Population,Diversity,PCT019021
95,"Europe, Eastern Europe, Hungary",fb_eur_e_hungary,Population,Diversity,PCT019022
96,"Europe, Eastern Europe, Poland",fb_eur_e_poland,Population,Diversity,PCT019023
97,"Europe, Eastern Europe, Romania",fb_eur_e_romania,Population,Diversity,PCT019024
98,"Europe, Eastern Europe, Russia",fb_eur_e_russia,Population,Diversity,PCT019026
99,"Europe, Eastern Europe, Ukraine",fb_eur_e_ukraine,Population,Diversity,PCT019027
100,"Europe, Eastern Europe, Other",fb_eur_e_other,Population,Diversity,PCT019030
101,"Europe, n.e.c.",fb_eur_nec,Population,Diversity,PCT019031
102,Asia,fb_asia,Population,Diversity,PCT019032
103,"Asia, Eastern Asia",fb_as_eastern,Population,Diversity,PCT019033
104,"Asia, Eastern Asia,China",fb_as_e_china,Population,Diversity,PCT019034
105,"Asia, Eastern Asia,China Excluding Hong Kong and Taiwan",fb_as_e_chinanohongkongortaiwan,Population,Diversity,PCT019035
106,"Asia, Eastern Asia,Hong Kong",fb_as_e_hongkong,Population,Diversity,PCT019036
107,"Asia, Eastern Asia,Taiwan",fb_as_e_taiwan,Population,Diversity,PCT019037
108,"Asia, Eastern Asia,Japan",fb_as_e_japan,Population,Diversity,PCT019038
109,"Asia, Eastern Asia,Korea",fb_as_e_korea,Population,Diversity,PCT019039
110,"Asia, Eastern Asia,Other",fb_as_e_other,Population,Diversity,PCT019040
111,"Asia, South Central Asia",fb_as_southcentral,Population,Diversity,PCT019041
112,"Asia, South Central Asia,Afghanistan",fb_as_sc_afghanistan,Population,Diversity,PCT019042
113,"Asia, South Central Asia,Bangladesh",fb_as_sc_bangladesh,Population,Diversity,PCT019043
114,"Asia, South Central Asia,India",fb_as_sc_india,Population,Diversity,PCT019044
115,"Asia, South Central Asia,Iran",fb_as_sc_iran,Population,Diversity,PCT019045
116,"Asia, South Central Asia,Pakistan",fb_as_sc_pakistan,Population,Diversity,PCT019046
117,"Asia, South Central Asia,Other",fb_as_sc_other,Population,Diversity,PCT019047
