ID,Data Point,Column Name,Category,Sub Category,ACS Variable
54,Native Hawaiian and Other Pacific Islander Alone,raceeth_nativehawaiianotherpacificislander_alone,Population,Race and Ethnicity,B01001E_001E
55,Some Other Race Alone,raceeth_someotherrace_alone,Population,Race and Ethnicity,B01001F_001E
56,Two or More Races Alone,raceeth_twoormoreraces_alone,Population,Race and Ethnicity,B01001G_001E
57,White Alone Not Hispanic or Latino,raceeth_whitealone_nothispanicorlatino,Population,Race and Ethnicity,B01001H_001E
58,Hispanic or Latino,raceeth_hispanicorlatino,Population,Race and Ethnicity,B01001I_001E
59,Average Household Size,hhsize_avg,Population,Household,B25010_001E
60,Total for Healthcare Insurance Coverage Status by Sex by Age,healthcoverage_total_healthcare_series,Population,Healthcare,B27001_001E
61,Total Male Health Insurance Coverage,healthcoverage_total_mallhealthcare,Population,Healthcare,B27001_002E
62,Male Under 6 Healthcare Coverage,healthcoverage_mu6_all,Population,Healthcare,B27001_003E
63,Male Under 6 With Health Insurance,healthcoverage_mu6_w,Population,Healthcare,B27001_004E
64,Male Under 6 Without Health Insurance,healthcoverage_mu6_wo,Population,Healthcare,B27001_005E
65,Male 6 to 18  Healthcare Coverage,healthcoverage_m6to18_all,Population,Healthcare,B27001_006E
66,Male 6 to 18 With Health Insurance,healthcoverage_m6to18_w,Population,Healthcare,B27001_007E
67,Male 6 to 18 Without Health Insurance,healthcoverage_m6to18_wo,Population,Healthcare,B27001_008E
68,Male 19 to 25 Healthcare Coverage,healthcoverage_m19to25_all,Population,Healthcare,B27001_009E
69,Male 19 to 25 With Health Insurance,healthcoverage_m19to25_w,Population,Healthcare,B27001_010E
70,Male 19 to 25 Without Health Insurance,healthcoverage_m19to25_wo,Population,Healthcare,B27001_011E
71,Male 26 to 34 Healthcare Coverage,healthcoverage_m26to34_all,Population,Healthcare,B27001_012E
72,Male 26 to 34 With Health Insurance,healthcoverage_m26to34_w,Population,Healthcare,B27001_013E
73,Male 26 to 34 Without Health Insurance,healthcoverage_m26to34_wo,Population,Healthcare,B27001_014E
74,Male 35 to 44 Healthcare Coverage,healthcoverage_m35to44_all,Population,Healthcare,B27001_015E
75,Male 35 to 44 With Health Insurance,healthcoverage_m35to44_w,Population,Healthcare,B27001_016E
76,Male 35 to 44 Without Health Insurance,healthcoverage_m35to44_wo,Population,Healthcare,B27001_017E
77,Male 45 to 54 Healthcare Coverage,healthcoverage_m45to54_all,Population,Healthcare,B27001_018E
78,Male 45 to 54 With Health Insurance,healthcoverage_m45to54_w,Population,Healthcare,B27001_019E
79,Male 45 to 54 Without Health Insurance,healthcoverage_m45to54_wo,Population,Healthcare,B27001_020E
80,Male 55 to 64 Healthcare Coverage,healthcoverage_m55to64_all,Population,Healthcare,B27001_021E
81,Male 55 to 64 With Health Insurance,healthcoverage_m55to64_w,Population,Healthcare,B27001_022E
82,Male 55 to 64 Without Health Insurance,healthcoverage_m55to64_wo,Population,Healthcare,B27001_023E
83,Male 65 to 74 Healthcare Coverage,healthcoverage_m65to74_all,Population,Healthcare,B27001_024E
84,Male 65 to 74 With Health Insurance,healthcoverage_m65to74_w,Population,Healthcare,B27001_025E
85,Male 65 to 74 Without Health Insurance,healthcoverage_m65to74_wo,Population,Healthcare,B27001_026E
86,Male 75 and Over Healthcare Coverage,healthcoverage_m75+_all,Population,Healthcare,B27001_027E
87,Male 75 and Over With Health Insurance,healthcoverage_m75+_w,Population,Healthcare,B27001_028E
88,Male 75 and Over Without Health Insurance,healthcoverage_m75+_wo,Population,Healthcare,B27001_029E
89,Total Female Health Insurance Coverage,healthcoverage_total_fallhealthcare,Population,Healthcare,B27001_030E
90,Female Under 6 Healthcare Coverage,healthcoverage_fu6_all,Population,Healthcare,B27001_031E
91,Female Under 6 With Health Insurance,healthcoverage_fu6_w,Population,Healthcare,B27001_032E
92,Female Under 6 Without Health Insurance,healthcoverage_fu6_wo,Population,Healthcare,B27001_033E
93,Female 6 to 18  Healthcare Coverage,healthcoverage_f6to18_all,Population,Healthcare,B27001_034E
94,Female 6 to 18 With Health Insurance,healthcoverage_f6to18_w,Population,Healthcare,B27001_035E
95,Female 6 to 18 Without Health Insurance,healthcoverage_f6to18_wo,Population,Healthcare,B27001_036E
96,Female 19 to 25 Healthcare Coverage,healthcoverage_f19to25_all,Population,Healthcare,B27001_037E
97,Female 19 to 25 With Health Insurance,healthcoverage_f19to25_w,Population,Healthcare,B27001_038E
98,Female 19 to 25 Without Health Insurance,healthcoverage_f19to25_wo,Population,Healthcare,B27001_039E
99,Female 26 to 34 Healthcare Coverage,healthcoverage_f26to34_all,Population,Healthcare,B27001_040E
100,Female 26 to 34 With Health Insurance,healthcoverage_f26to34_w,Population,Healthcare,B27001_041E
101,Female 26 to 34 Without Health Insurance,healthcoverage_f26to34_wo,Population,Healthcare,B27001_042E
102,Female 35 to 44 Healthcare Coverage,healthcoverage_f35to44_all,Population,Healthcare,B27001_043E
103,Female 35 to 44 With Health Insurance,healthcoverage_f35to44_w,Population,Healthcare,B27001_044E
104,Female 35 to 44 Without Health Insurance,healthcoverage_f35to44_wo,Population,Healthcare,B27001_045E
105,Female 45 to 54 Healthcare Coverage,healthcoverage_f45to54_all,Population,Healthcare,B27001_046E
106,Female 45 to 54 With Health Insurance,healthcoverage_f45to54_w,Population,Healthcare,B27001_047E
107,Female 45 to 54 Without Health Insurance,healthcoverage_f45to54_wo,Population,Healthcare,B27001_048E
108,Female 55 to 64 Healthcare Coverage,healthcoverage_f55to64_all,Population,Healthcare,B27001_049E
109,Female 55 to 64 With Health Insurance,healthcoverage_f55to64_w,Population,Healthcare,B27001_050E
110,Female 55 to 64 Without Health Insurance,healthcoverage_f55to64_wo,Population,Healthcare,B27001_051E
111,Female 65 to 74 Healthcare Coverage,healthcoverage_f65to74_all,Population,Healthcare,B27001_052E
112,Female 65 to 74 With Health Insurance,healthcoverage_f65to74_w,Population,Healthcare,B27001_053E
113,Female 65 to 74 Without Health Insurance,healthcoverage_f65to74_wo,Population,Healthcare,B27001_054E
114,Female 75 and Over Healthcare Coverage,healthcoverage_f75+_all,Population,Healthcare,B27001_055E
115,Female 75 and Over With Health Insurance,healthcoverage_f75+_w,Population,Healthcare,B27001_056E
116,Female 75 and Over Without Health Insurance,healthcoverage_f75+_wo,Population,Healthcare,B27001_057E
117,Total for Private Healthcare Insurance Coverage Status by Sex by Age,healthcoverage_total_privatehealthcare_series,Population,Healthcare,B27002_001E
118,Total Male Private Health Insurance Coverage,healthcoverage_total_mprivate,Population,Healthcare,B27002_002E
119,Male Under 6 Private Healthcare Coverage,healthcoverage_mu6_privateall,Population,Healthcare,B27002_003E
120,Male Under 6 With Private Health Insurance,healthcoverage_mu6_wprivate,Population,Healthcare,B27002_004E
121,Male Under 6 Without Private Health Insurance,healthcoverage_mu6_woprivate,Population,Healthcare,B27002_005E
122,Male 6 to 18  Private Healthcare Coverage,healthcoverage_m6to18_privateall,Population,Healthcare,B27002_006E
123,Male 6 to 18 With Private Health Insurance,healthcoverage_m6to18_wprivate,Population,Healthcare,B27002_007E
124,Male 6 to 18 Without Private Health Insurance,healthcoverage_m6to18_woprivate,Population,Healthcare,B27002_008E
125,Male 19 to 25 Private Healthcare Coverage,healthcoverage_m19to25_privateall,Population,Healthcare,B27002_009E
126,Male 19 to 25 With Private Health Insurance,healthcoverage_m19to25_wprivate,Population,Healthcare,B27002_010E
127,Male 19 to 25 Without Private Health Insurance,healthcoverage_m19to25_woprivate,Population,Healthcare,B27002_011E
128,Male 26 to 34 Private Healthcare Coverage,healthcoverage_m26to34_privateall,Population,Healthcare,B27002_012E
129,Male 26 to 34 With Private Health Insurance,healthcoverage_m26to34_wprivate,Population,Healthcare,B27002_013E
130,Male 26 to 34 Without Private Health Insurance,healthcoverage_m26to34_woprivate,Population,Healthcare,B27002_014E
131,Male 35 to 44 Private Healthcare Coverage,healthcoverage_m35to44_privateall,Population,Healthcare,B27002_015E
132,Male 35 to 44 With Private Health Insurance,healthcoverage_m35to44_wprivate,Population,Healthcare,B27002_016E
133,Male 35 to 44 Without Private Health Insurance,healthcoverage_m35to44_woprivate,Population,Healthcare,B27002_017E
134,Male 45 to 54 Private Healthcare Coverage,healthcoverage_m45to54_privateall,Population,Healthcare,B27002_018E
135,Male 45 to 54 With Private Health Insurance,healthcoverage_m45to54_wprivate,Population,Healthcare,B27002_019E
