ID,Data Point,Column Name,Category,Sub Category,ACS Variable,ACS Table
268,"Household Income 35,000 to 39,999",hhincome_35to39999,Housing,Household Income,B19001_008E,B19001
269,"Household Income 40,000 to 44,999",hhincome_40to44999,Housing,Household Income,B19001_009E,B19001
270,"Household Income 45,000 to 49,999",hhincome_45to49999,Housing,Household Income,B19001_010E,B19001
271,"Household Income 50,000 to 59,999",hhincome_50to59999,Housing,Household Income,B19001_011E,B19001
272,"Household Income 60,000 to 74,999",hhincome_60to74999,Housing,Household Income,B19001_012E,B19001
273,"Household Income 75,000 to 99,999",hhincome_75to99999,Housing,Household Income,B19001_013E,B19001
274,"Household Income 100,000 to 124,999",hhincome_100to124999,Housing,Household Income,B19001_014E,B19001
275,"Household Income 125,000 to 149,999",hhincome125to149999,Housing,Household Income,B19001_015E,B19001
276,"Household Income 150,000 to 199,999",hhincome150to199999,Housing,Household Income,B19001_016E,B19001
277,"Household Income 200,000 or More",hhincome200ormore,Housing,Household Income,B19001_017E,B19001
278,Total Mortgage Status by Selected Monthly Owner Cost as a Percentage of Household Income in the Past 12 Months Series,housingcost_total_selectedownercosts%hhincome_series,Housing,Cost Burden,B25091_001E,B25091
279,Total Percent Owner Costs with a Mortgage Series,housingcost_total%ownercostwmortgage_series,Housing,Cost Burden,B25091_002E,B25091
280,Housing Units with a Mortgage 30 to 34.9 Percent,housingcost_%ownercost30to34.9_wmortgage,Housing,Cost Burden,B25091_008E,B25091
281,Housing Units with a Mortgage 35 to 39.9 Percent,housingcost_%ownercost35to39.9_wmortgage,Housing,Cost Burden,B25091_009E,B25091
282,Housing Units with a Mortgage 40 to 49.9 Percent,housingcost_%ownercost40to49.9_wmortgage,Housing,Cost Burden,B25091_010E,B25091
283,Housing Units with a Mortgage 50 or More Percent,housingcost_%ownercost50+_wmortgage,Housing,Cost Burden,B25091_011E,B25091
284,Total Percent Owner Costs without a Mortgage Series,housingcost_total%ownercostwomortgage_series,Housing,Cost Burden,B25091_013E,B25091
285,Housing Units without a Mortgage 30 to 34.9 Percent,housingcost_%ownercost30to34.9_womortgage,Housing,Cost Burden,B25091_019E,B25091
286,Housing Units without a Mortgage 35 to 39.9 Percent,housingcost_%ownercost35to39.9_womortgage,Housing,Cost Burden,B25091_020E,B25091
287,Housing Units without a Mortgage 40 to 49.9 Percent,housingcost_%ownercost40to49.9_womortgage,Housing,Cost Burden,B25091_021E,B25091
288,Housing Units without a Mortgage 50 or More Percent,housingcost_%ownercost50+_womortgage,Housing,Cost Burden,B25091_022E,B25091
289,Total Gross Rent as Percentage of Household Income in Past 12 Months Series,housingcost_total_rent%hhincome_series,Housing,Cost Burden,B25070_001E,B25070
290,Gross Rent 30 to 34.9 Percent of Household Income,housingcost_%rentercost30to34.9,Housing,Cost Burden,B25070_007E,B25070
291,Gross Rent 35 to 39.9 Percent of Household Income,housingcost_%rentercost35to39.9,Housing,Cost Burden,B25070_008E,B25070
292,Gross Rent 40 to 49.9 Percent of Household Income,housingcost_%rentercost40to49.9,Housing,Cost Burden,B25070_009E,B25070
293,Gross Rent 50 Percent or More of Household Income,housingcost_%rentercost50+,Housing,Cost Burden,B25070_010E,B25070
294,Median Value for Owner Occupied Units with a Mortgage,housingcost_medvalue_ownerocc_wmortgage,Housing,Home Value,B25097_002E,B25097
295,Median Value for Owner Occupied Units without a Mortgage,housingcost_medvalue_ownerocc_womortgage,Housing,Home Value,B25097_003E,B25097
296,Median Gross Rent Renter Occupied,housingcost_mediangrossrent_renteroccupied,Housing,Home Value,B25064_001E,B25064
297,Total Year Structure Built Series,structures_total_yearbuilt_series,Housing,Year Structure Built,B25034_001E,B25034
298,Structures Built 2014 or Later,structures_built2014orlater,Housing,Year Structure Built,B25034_002E,B25034
299,Structures Built 2010 to 2013,structures_built2010to2013,Housing,Year Structure Built,B25034_003E,B25034
300,Structures Built 2000 to 2009,structures_built2000to2009,Housing,Year Structure Built,B25034_004E,B25034
301,Structures Built 1990 to 1999,structures_built1990to1999,Housing,Year Structure Built,B25034_005E,B25034
302,Structures Built 1980 to 1989,structures_built1980to1989,Housing,Year Structure Built,B25034_006E,B25034
303,Structures Built 1970 to 1979,structures_built1970to1979,Housing,Year Structure Built,B25034_007E,B25034
304,Structures Built 1960 to 1969,structures_built1960to1969,Housing,Year Structure Built,B25034_008E,B25034
305,Structures Built 1950 to 1959,structures_built1950to1959,Housing,Year Structure Built,B25034_009E,B25034
306,Structures Built 1940 to 1949,structures_built1940to1949,Housing,Year Structure Built,B25034_010E,B25034
307,Structures Built 1939 or Earlier,structures_built1939orearlier,Housing,Year Structure Built,B25034_011E,B25034
308,Median Year Structure Built,structures_medianyearbuilt,Housing,Year Structure Built,B25035_001E,B25035
309,Workers by Means of Transportation to Work Series,commute_total_meansoftransportationtowork_series,Transportation,Commute,B08006_001E,B08006
310,Car Truck or Van Commute,commute_cartruckvan,Transportation,Commute,B08006_002E,B08006
311,Car Truck or Van Drove Alone Commute,commute_cartruckvan_drovealone,Transportation,Commute,B08006_003E,B08006
312,Car Truck or Van Carpooled Commute,commute_cartruckvan_carpooled,Transportation,Commute,B08006_004E,B08006
313,Car Truck or Van 2 Person Carpooled Commute,commute_cartruckvan_carpooled_2ppl,Transportation,Commute,B08006_005E,B08006
314,Car Truck or Van 3 Person Carpooled Commute,commute_cartruckvan_carpooled_3ppl,Transportation,Commute,B08006_006E,B08006
315,Car Truck or Van 4 or More Person Carpooled Commute,commute_cartruckvan_carpooled_4ormoreppl,Transportation,Commute,B08006_007E,B08006
316,Public Transportation Excluding Taxicab Commute,commute_publictransportation,Transportation,Commute,B08006_008E,B08006
317,Public Transportation Bus Commute,commute_publictransportation_bus,Transportation,Commute,B08006_009E,B08006
318,Public Transportation Subway or Elevated Rail Commute,commute_publictransportation_subwayorelevatedrail,Transportation,Commute,B08006_010E,B08006
319,Public Transportation Long Distance Train or Commuter Rail Commute,commute_publictransportation_longdistancetrainorcommuterrail,Transportation,Commute,B08006_011E,B08006
320,Public Transportation Light Rail Streetcar or Trolley Commute,commute_publictransportation_lightrailstreetcarortrolley,Transportation,Commute,B08006_012E,B08006
321,Public Transportation Ferryboat Commute,commute_publictransportation_ferryboat,Transportation,Commute,B08006_013E,B08006
322,Bicycle Commute,commute_bicycle,Transportation,Commute,B08006_014E,B08006
323,Walked Commute,commute_walk,Transportation,Commute,B08006_015E,B08006
324,Taxicab Motorcycle or Other Means Commute,commute_taxicabmotorcycleother,Transportation,Commute,B08006_016E,B08006
325,Worked from Home Commute,commute_workedfromhome,Transportation,Commute,B08006_017E,B08006
326,Total Sex of Workers by Vehicles Available Series,vehicles_total_series2,Transportation,Vehicles,B08014_001E,B08014
327,No Vehicle Available,vehicles_none,Transportation,Vehicles,B08014_002E,B08014
328,One Vehicle Available,vehicles_one,Transportation,Vehicles,B08014_003E,B08014
329,Two Vehicles Available,vehicles_two,Transportation,Vehicles,B08014_004E,B08014
330,Three Vehicles Available,vehicles_three,Transportation,Vehicles,B08014_005E,B08014
331,Four Vehicles Available,vehicles_four,Transportation,Vehicles,B08014_006E,B08014
332,Five or More Vehicles Available,vehicles_fiveormore,Transportation,Vehicles,B08014_007E,B08014
333,Total Foreign Born Place of Birth Series,foreignborn_total,Population,Diversity,B05006_001E,B05006
334,Europe,fb_europe,Population,Diversity,B05006_002E,B05006
335,"Europe, Northern Europe",fb_eur_northern,Population,Diversity,B05006_003E,B05006
336,"Europe, Northern Europe, Ireland",fb_eur_n_ireland,Population,Diversity,B05006_004E,B05006
337,"Europe, Northern Europe, Denmark",fb_eur_n_denmark,Population,Diversity,B05006_005E,B05006
338,"Europe, Northern Europe, Norway",fb_eur_n_norway,Population,Diversity,B05006_006E,B05006
339,"Europe, Northern Europe, Sweden",fb_eur_n_sweden,Population,Diversity,B05006_007E,B05006
340,"Europe, Northern Europe, UK",fb_eur_n_uk,Population,Diversity,B05006_008E,B05006
341,"Europe, Northern Europe, UK, Excluding England and Scotland",fb_eur_n_excluding england and scotland,Population,Diversity,B05006_009E,B05006
342,"Europe, Northern Europe, UK, England",fb_eur_n_england,Population,Diversity,B05006_010E,B05006
343,"Europe, Northern Europe, UK, Scotland",fb_eur_n_scotland,Population,Diversity,B05006_011E,B05006
344,"Europe, Northern Europe, Other",fb_eur_n_other,Population,Diversity,B05006_012E,B05006
345,"Europe, Western Europe ",fb_eur_western,Population,Diversity,B05006_013E,B05006
346,"Europe, Western Europe, Austria",fb_eur_w_austria,Population,Diversity,B05006_014E,B05006
347,"Europe, Western Europe, Belgium",fb_eur_w_belgium,Population,Diversity,B05006_015E,B05006
348,"Europe, Western Europe, France",fb_eur_w_france,Population,Diversity,B05006_016E,B05006
349,"Europe, Western Europe, Germany",fb_eur_w_germany,Population,Diversity,B05006_017E,B05006
350,"Europe, Western Europe, Netherlands",fb_eur_w_netherlands,Population,Diversity,B05006_018E,B05006
351,"Europe, Western Europe, Switzerland",fb_eur_w_switzerland,Population,Diversity,B05006_019E,B05006
352,"Europe, Western Europe, Other",fb_eur_w_other,Population,Diversity,B05006_020E,B05006
353,"Europe, Southern Europe",fb_eur_southern,Population,Diversity,B05006_021E,B05006
354,"Europe, Southern Europe, Greece",fb_eur_s_greece,Population,Diversity,B05006_022E,B05006
355,"Europe, Southern Europe, Italy",fb_eur_s_italy,Population,Diversity,B05006_023E,B05006
356,"Europe, Southern Europe, Portugal",fb_eur_s_portugal,Population,Diversity,B05006_024E,B05006
357,"Europe, Southern Europe, Azores Islands",fb_eur_s_azoresislands,Population,Diversity,B05006_025E,B05006
358,"Europe, Southern Europe, Spain",fb_eur_s_spain,Population,Diversity,B05006_026E,B05006
359,"Europe, Southern Europe, Other",fb_eur_s_other,Population,Diversity,B05006_027E,B05006
360,"Europe, Eastern Europe",fb_eur_eastern,Population,Diversity,B05006_028E,B05006
361,"Europe, Eastern Europe, Albania",fb_eur_e_albania,Population,Diversity,B05006_029E,B05006
362,"Europe, Eastern Europe, Belarus",fb_eur_e_belarus,Population,Diversity,B05006_030E,B05006
363,"Europe, Eastern Europe, Bosnia and Herzegovina",fb_eur_e_bosniaandherzegovina,Population,Diversity,B05006_031E,B05006
364,"Europe, Eastern Europe, Bulgaria",fb_eur_e_bulgaria,Population,Diversity,B05006_032E,B05006
365,"Europe, Eastern Europe, Croatia",fb_eur_e_croatia,Population,Diversity,B05006_033E,B05006
366,"Europe, Eastern Europe, Czechoslovakia (Czech Republic and Slovakia)",fb_eur_e_czechoslovakia,Population,Diversity,B05006_034E,B05006
367,"Europe, Eastern Europe, Hungary",fb_eur_e_hungary,Population,Diversity,B05006_035E,B05006
368,"Europe, Eastern Europe, Latvia",fb_eur_e_latvia,Population,Diversity,B05006_036E,B05006
369,"Europe, Eastern Europe, Lithuania",fb_eur_e_lithuania,Population,Diversity,B05006_037E,B05006
370,"Europe, Eastern Europe, North Macedonia (Macedonia)",fb_eur_e_macedonia,Population,Diversity,B05006_038E,B05006
371,"Europe, Eastern Europe, Moldova",fb_eur_e_moldova,Population,Diversity,B05006_039E,B05006
372,"Europe, Eastern Europe, Poland",fb_eur_e_poland,Population,Diversity,B05006_040E,B05006
373,"Europe, Eastern Europe, Romania",fb_eur_e_romania,Population,Diversity,B05006_041E,B05006
374,"Europe, Eastern Europe, Russia",fb_eur_e_russia,Population,Diversity,B05006_042E,B05006
375,"Europe, Eastern Europe, Serbia",fb_eur_e_serbia,Population,Diversity,B05006_043E,B05006
376,"Europe, Eastern Europe, Ukraine",fb_eur_e_ukraine,Population,Diversity,B05006_044E,B05006
377,"Europe, Eastern Europe, Other",fb_eur_e_other,Population,Diversity,B05006_045E,B05006
378,"Europe, n.e.c.",fb_eur_nec,Population,Diversity,B05006_046E,B05006
379,Asia,fb_asia,Population,Diversity,B05006_047E,B05006
380,"Asia, Eastern Asia",fb_as_eastern,Population,Diversity,B05006_048E,B05006
381,"Asia, Eastern Asia,China",fb_as_e_china,Population,Diversity,B05006_049E,B05006
382,"Asia, Eastern Asia,China Excluding Hong Kong and Taiwan",fb_as_e_chinanohongkongortaiwan,Population,Diversity,B05006_050E,B05006
383,"Asia, Eastern Asia,Hong Kong",fb_as_e_hongkong,Population,Diversity,B05006_051E,B05006
384,"Asia, Eastern Asia,Taiwan",fb_as_e_taiwan,Population,Diversity,B05006_052E,B05006
385,"Asia, Eastern Asia,Japan",fb_as_e_japan,Population,Diversity,B05006_053E,B05006
386,"Asia, Eastern Asia,Korea",fb_as_e_korea,Population,Diversity,B05006_054E,B05006
387,"Asia, Eastern Asia,Other",fb_as_e_other,Population,Diversity,B05006_055E,B05006
388,"Asia, South Central Asia",fb_as_southcentral,Population,Diversity,B05006_056E,B05006
389,"Asia, South Central Asia,Afghanistan",fb_as_sc_afghanistan,Population,Diversity,B05006_057E,B05006
390,"Asia, South Central Asia,Bangladesh",fb_as_sc_bangladesh,Population,Diversity,B05006_058E,B05006
391,"Asia, South Central Asia,India",fb_as_sc_india,Population,Diversity,B05006_059E,B05006
392,"Asia, South Central Asia,Iran",fb_as_sc_iran,Population,Diversity,B05006_060E,B05006
393,"Asia, South Central Asia,Kazakhstan",fb_as_sc_kazakhstan,Population,Diversity,B05006_061E,B05006
394,"Asia, South Central Asia,Nepal",fb_as_sc_nepal,Population,Diversity,B05006_062E,B05006
395,"Asia, South Central Asia,Pakistan",fb_as_sc_pakistan,Population,Diversity,B05006_063E,B05006
396,"Asia, South Central Asia,Sri Lanka",fb_as_sc_srilanka,Population,Diversity,B05006_064E,B05006
397,"Asia, South Central Asia,Uzbekistan",fb_as_sc_uzbekistan,Population,Diversity,B05006_065E,B05006
398,"Asia, South Central Asia,Other",fb_as_sc_other,Population,Diversity,B05006_066E,B05006
399,"Asia, South Eastern Asia",fb_as_southeastern,Population,Diversity,B05006_067E,B05006
400,"Asia, South Eastern Asia,Burma",fb_as_se_burma,Population,Diversity,B05006_068E,B05006
401,"Asia, South Eastern Asia,Cambodia",fb_as_se_cambodia,Population,Diversity,B05006_069E,B05006
402,"Asia, South Eastern Asia,Indonesia",fb_as_se_indonesia,Population,Diversity,B05006_070E,B05006
403,"Asia, South Eastern Asia,Laos",fb_as_se_laos,Population,Diversity,B05006_071E,B05006
404,"Asia, South Eastern Asia,Malaysia",fb_as_se_malaysia,Population,Diversity,B05006_072E,B05006
405,"Asia, South Eastern Asia,Philippines",fb_as_se_philippines,Population,Diversity,B05006_073E,B05006
406,"Asia, South Eastern Asia,Singapore",fb_as_se_singapore,Population,Diversity,B05006_074E,B05006
407,"Asia, South Eastern Asia,Thailand",fb_as_se_thailand,Population,Diversity,B05006_075E,B05006
408,"Asia, South Eastern Asia,Vietnam",fb_as_se_vietnam,Population,Diversity,B05006_076E,B05006
409,"Asia, South Eastern Asia,Other",fb_as_se_other,Population,Diversity,B05006_077E,B05006
410,"Asia, Western Asia",fb_as_western,Population,Diversity,B05006_078E,B05006
411,"Asia, Western Asia,Armenia",fb_as_w_armenia,Population,Diversity,B05006_079E,B05006
412,"Asia, Western Asia,Iraq",fb_as_w_iraq,Population,Diversity,B05006_080E,B05006
413,"Asia, Western Asia,Israel",fb_as_w_israel,Population,Diversity,B05006_081E,B05006
414,"Asia, Western Asia,Jordan",fb_as_w_jordan,Population,Diversity,B05006_082E,B05006
415,"Asia, Western Asia,Kuwait",fb_as_w_kuwait,Population,Diversity,B05006_083E,B05006
416,"Asia, Western Asia,Lebanon",fb_as_w_lebanon,Population,Diversity,B05006_084E,B05006
417,"Asia, Western Asia,Saudi Arabia",fb_as_w_saudiarabia,Population,Diversity,B05006_085E,B05006
418,"Asia, Western Asia,Syria",fb_as_w_syria,Population,Diversity,B05006_086E,B05006
419,"Asia, Western Asia,Turkey",fb_as_w_turkey,Population,Diversity,B05006_087E,B05006
420,"Asia, Western Asia,Yemen",fb_as_w_yemen,Population,Diversity,B05006_088E,B05006
421,"Asia, Western Asia,Other",fb_as_w_other,Population,Diversity,B05006_089E,B05006
422,"Asia, n.e.c.",fb_as_nec,Population,Diversity,B05006_090E,B05006
423,Africa,fb_africa,Population,Diversity,B05006_091E,B05006
424,"Africa, Eastern Africa",fb_af_eastern,Population,Diversity,B05006_092E,B05006
425,"Africa, Eastern Africa,Eritrea",fb_af_e_eritrea,Population,Diversity,B05006_093E,B05006
426,"Africa, Eastern Africa,Ethiopia",fb_af_e_ethiopia,Population,Diversity,B05006_094E,B05006
427,"Africa, Eastern Africa,Kenya",fb_af_e_kenya,Population,Diversity,B05006_095E,B05006
428,"Africa, Eastern Africa,Somalia",fb_af_e_somalia,Population,Diversity,B05006_096E,B05006
429,"Africa, Eastern Africa,Uganda",fb_af_e_uganda,Population,Diversity,B05006_097E,B05006
430,"Africa, Eastern Africa,Zimbabwe",fb_af_e_zimbabwe,Population,Diversity,B05006_098E,B05006
431,"Africa, Eastern Africa,Other",fb_af_e_other,Population,Diversity,B05006_099E,B05006
432,"Africa, Middle Africa",fb_af_middle,Population,Diversity,B05006_100E,B05006
433,"Africa, Middle Africa,Cameroon",fb_af_m_cameroon,Population,Diversity,B05006_101E,B05006
434,"Africa, Middle Africa,Congo",fb_af_m_congo,Population,Diversity,B05006_102E,B05006
435,"Africa, Middle Africa,Democratic Republic of Congo (Zaire)",fb_af_m_democraticrepublicofcongo,Population,Diversity,B05006_103E,B05006
436,"Africa, Middle Africa,Other",fb_af_m_other,Population,Diversity,B05006_104E,B05006
437,"Africa, Northern Africa",fb_af_northern,Population,Diversity,B05006_105E,B05006
438,"Africa, Northern Africa,Egypt",fb_af_n_egypt,Population,Diversity,B05006_106E,B05006
439,"Africa, Northern Africa,Morocco",fb_af_n_morocco,Population,Diversity,B05006_107E,B05006
440,"Africa, Northern Africa,Sudan",fb_af_n_sudan,Population,Diversity,B05006_108E,B05006
441,"Africa, Northern Africa,Other",fb_af_n_other,Population,Diversity,B05006_109E,B05006
442,"Africa, Southern Africa",fb_af_southern,Population,Diversity,B05006_110E,B05006
443,"Africa, Southern Africa, South Africa",fb_af_s_southafrica,Population,Diversity,B05006_111E,B05006
444,"Africa, Southern Africa, Other",fb_af_s_other,Population,Diversity,B05006_112E,B05006
445,"Africa, Western Africa",fb_af_western,Population,Diversity,B05006_113E,B05006
446,"Africa, Western Africa,Cabo Verde",fb_af_w_caboverde,Population,Diversity,B05006_114E,B05006
447,"Africa, Western Africa,Ghana",fb_af_w_ghana,Population,Diversity,B05006_115E,B05006
448,"Africa, Western Africa,Liberia",fb_af_w_liberia,Population,Diversity,B05006_116E,B05006
449,"Africa, Western Africa,Nigeria",fb_af_w_nigeria,Population,Diversity,B05006_117E,B05006
450,"Africa, Western Africa,Senegal",fb_af_w_senegal,Population,Diversity,B05006_118E,B05006
451,"Africa, Western Africa,Sierra Leone",fb_af_w_sierraleone,Population,Diversity,B05006_119E,B05006
452,"Africa, Western Africa,Other",fb_af_w_other,Population,Diversity,B05006_120E,B05006
453,"Africa, n.e.c.",fb_af_nec,Population,Diversity,B05006_121E,B05006
454,Oceania,fb_oceania,Population,Diversity,B05006_122E,B05006
455,"Oceania, Australia and New Zealand Subregion",fb_oc_australianewzealandsubregion,Population,Diversity,B05006_123E,B05006
456,"Oceania, Australia and New Zealand Subregion, Australia",fb_oc_australianewzealandsubregion_australia,Population,Diversity,B05006_124E,B05006
457,"Oceania, Australia and New Zealand Subregion, Other",fb_oc_australianewzealandsubregion_other,Population,Diversity,B05006_125E,B05006
458,"Oceania, Fiji",fb_oc_fiji,Population,Diversity,B05006_126E,B05006
459,"Oceania, Micronesia",fb_oc_micronesia,Population,Diversity,B05006_127E,B05006
460,"Oceania, n.e.c.",fb_oc_nec,Population,Diversity,B05006_128E,B05006
461,Americas,fb_americas,Population,Diversity,B05006_129E,B05006
462,"Americas, Latin America",fb_am_latinamerica,Population,Diversity,B05006_130E,B05006
463,"Americas, Latin America, Caribbean",fb_am_la_caribbean,Population,Diversity,B05006_131E,B05006
464,"Americas, Latin America, Caribbean, Bahamas",fb_am_la_cbb_bahamas,Population,Diversity,B05006_132E,B05006
465,"Americas, Latin America, Caribbean, Barbados",fb_am_la_cbb_barbados,Population,Diversity,B05006_133E,B05006
466,"Americas, Latin America, Caribbean, Cuba",fb_am_la_cbb_cuba,Population,Diversity,B05006_134E,B05006
467,"Americas, Latin America, Caribbean, Dominica",fb_am_la_cbb_dominica,Population,Diversity,B05006_135E,B05006
468,"Americas, Latin America, Caribbean, Dominican Republic",fb_am_la_cbb_dominicanrepublic,Population,Diversity,B05006_136E,B05006
469,"Americas, Latin America, Caribbean, Grenada",fb_am_la_cbb_grenada,Population,Diversity,B05006_137E,B05006
470,"Americas, Latin America, Caribbean, Haiti",fb_am_la_cbb_haiti,Population,Diversity,B05006_138E,B05006
471,"Americas, Latin America, Caribbean, Jamaica",fb_am_la_cbb_jamaica,Population,Diversity,B05006_139E,B05006
472,"Americas, Latin America, Caribbean, St. Vincent and the Grenadines",fb_am_la_cbb_stvincentandthegrenadines,Population,Diversity,B05006_140E,B05006
473,"Americas, Latin America, Caribbean, Trinidad and Tobago",fb_am_la_cbb_trinidadandtobago,Population,Diversity,B05006_141E,B05006
474,"Americas, Latin America, Caribbean, West Indies",fb_am_la_cbb_westindies,Population,Diversity,B05006_142E,B05006
475,"Americas, Latin America, Caribbean, Other",fb_am_la_cbb_other,Population,Diversity,B05006_143E,B05006
476,"Americas, Latin America, Central America",fb_am_la_centralamerica,Population,Diversity,B05006_144E,B05006
477,"Americas, Latin America, Central America, Belize",fb_am_la_centr_belize,Population,Diversity,B05006_145E,B05006
478,"Americas, Latin America, Central America,Costa Rica",fb_am_la_centr_costarica,Population,Diversity,B05006_146E,B05006
479,"Americas, Latin America, Central America,El Salvador",fb_am_la_centr_elsalvador,Population,Diversity,B05006_147E,B05006
480,"Americas, Latin America, Central America,Guatemala",fb_am_la_centr_guatemala,Population,Diversity,B05006_148E,B05006
481,"Americas, Latin America, Central America,Honduras",fb_am_la_centr_honduras,Population,Diversity,B05006_149E,B05006
482,"Americas, Latin America, Central America,Mexico",fb_am_la_centr_mexico,Population,Diversity,B05006_150E,B05006
483,"Americas, Latin America, Central America,Nicaragua",fb_am_la_centr_nicaragua,Population,Diversity,B05006_151E,B05006
484,"Americas, Latin America, Central America,Panama",fb_am_la_centr_panama,Population,Diversity,B05006_152E,B05006
485,"Americas, Latin America, Central America,Other",fb_am_la_centr_other,Population,Diversity,B05006_153E,B05006
486,"Americas, Latin America, South America",fb_am_la_southamerica,Population,Diversity,B05006_154E,B05006
487,"Americas, Latin America, South America, Argentina",fb_am_la_s_argentina,Population,Diversity,B05006_155E,B05006
488,"Americas, Latin America, South America,Bolivia",fb_am_la_s_bolivia,Population,Diversity,B05006_156E,B05006
489,"Americas, Latin America, South America,Brazil",fb_am_la_s_brazil,Population,Diversity,B05006_157E,B05006
490,"Americas, Latin America, South America,Chile",fb_am_la_s_chile,Population,Diversity,B05006_158E,B05006
491,"Americas, Latin America, South America,Columbia",fb_am_la_s_columbia,Population,Diversity,B05006_159E,B05006
492,"Americas, Latin America, South America,Ecuador",fb_am_la_s_ecuador,Population,Diversity,B05006_160E,B05006
493,"Americas, Latin America, South America,Guyana",fb_am_la_s_guyana,Population,Diversity,B05006_161E,B05006
494,"Americas, Latin America, South America,Peru",fb_am_la_s_peru,Population,Diversity,B05006_162E,B05006
495,"Americas, Latin America, South America,Uruguay",fb_am_la_s_uruguay,Population,Diversity,B05006_163E,B05006
496,"Americas, Latin America, South America,Venezuela",fb_am_la_s_venezuela,Population,Diversity,B05006_164E,B05006
497,"Americas, Latin America, South America,Other",fb_am_la_s_other,Population,Diversity,B05006_165E,B05006
498,"Americas, Northern America",fb_am_northern,Population,Diversity,B05006_166E,B05006
499,"Americas, Northern America, Canada",fb_am_n_canada,Population,Diversity,B05006_167E,B05006
500,"Americas, Northern America, Other",fb_am_n_other,Population,Diversity,B05006_168E,B05006
501,Total Educational Attainment for the Population 25+ Series,attainment_total_over25_series,Population,Educational Attainment,B15003_001E,B15003
502,No Schooling Completed,attainment_noschooling,Population,Educational Attainment,B15003_002E,B15003
503,Nursery School,attainment_nurseryschool,Population,Educational Attainment,B15003_003E,B15003
504,Kindergarten,attainment_kindergarten,Population,Educational Attainment,B15003_004E,B15003
505,1st Grade,attainment_1stgrade,Population,Educational Attainment,B15003_005E,B15003
506,2nd Grade,attainment_2ndgrade,Population,Educational Attainment,B15003_006E,B15003
507,3rd Grade,attainment_3rdgrade,Population,Educational Attainment,B15003_007E,B15003
508,4th Grade,attainment_4thgrade,Population,Educational Attainment,B15003_008E,B15003
509,5th Grade,attainment_5thgrade,Population,Educational Attainment,B15003_009E,B15003
510,6th Grade,attainment_6thgrade,Population,Educational Attainment,B15003_010E,B15003
511,7th Grade,attainment_7thgrade,Population,Educational Attainment,B15003_011E,B15003
512,8th Grade,attainment_8thgrade,Population,Educational Attainment,B15003_012E,B15003
513,9th Grade,attainment_9thgrade,Population,Educational Attainment,B15003_013E,B15003
514,10th Grade,attainment_10thgrade,Population,Educational Attainment,B15003_014E,B15003
515,11th Grade,attainment_11thgrade,Population,Educational Attainment,B15003_015E,B15003
516,12th Grade No Diploma,attainment_12thgradenodiploma,Population,Educational Attainment,B15003_016E,B15003
517,Regular High School Diploma,attainment_regularhighschooldiploma,Population,Educational Attainment,B15003_017E,B15003
518,GED or Alternative Credential,attainment_gedoralternativecredential,Population,Educational Attainment,B15003_018E,B15003
519,"Some College, Less than 1 Year",attainment_somecollegelessthan1year,Population,Educational Attainment,B15003_019E,B15003
520,"Some College, 1 or More Years No Degree",attainment_somecollege1ormoreyearsnodegree,Population,Educational Attainment,B15003_020E,B15003
521,Associate's Degree,attainment_associatesdegree,Population,Educational Attainment,B15003_021E,B15003
522,Bachelor's Degree,attainment_bachelorsdegree,Population,Educational Attainment,B15003_022E,B15003
523,Master's Degree,attainment_mastersdegree,Population,Educational Attainment,B15003_023E,B15003
524,Professional School Degree,attainment_professionalschooldegree,Population,Educational Attainment,B15003_024E,B15003
525,Doctorate Degree,attainment_doctoratedegree,Population,Educational Attainment,B15003_025E,B15003
526,"Total, Means of Transportation to Work by Class of Worker Series",classworker_total_series,Employment,Class of Worker,B08128_001E,B08128
527,Private for Profit Wage and Salary Workers,classworker_privateforprofit,Employment,Class of Worker,B08128_002E,B08128
528,"Private for Profit Wage and Salary Workers, Employee of Private Company Workers",classworker_privateforprofit_employee,Employment,Class of Worker,B08128_003E,B08128
529,"Private for Profit Wage and Salary Workers, Self-Employed in own Incorporated Business ",classworker_privateforprofit_selfemployedincorporatedbusiness,Employment,Class of Worker,B08128_004E,B08128
530,Private not for Profit Wage and Salary Workers,classworker_privatenotforprofit,Employment,Class of Worker,B08128_005E,B08128
531,Local Government Workers,classworker_localgovt,Employment,Class of Worker,B08128_006E,B08128
532,State Government Workers,classworker_stategovt,Employment,Class of Worker,B08128_007E,B08128
533,Federal Government Workers,classworker_federalgovt,Employment,Class of Worker,B08128_008E,B08128
534,Self Employed in Own Non-Incorporated Business Workers,classworker_selfemployednonincorporatedbusiness,Employment,Class of Worker,B08128_009E,B08128
535,Unpaid Family Workers,classworker_unpaidfamilyworker,Employment,Class of Worker,B08128_010E,B08128
536,Total Sex by Age by Employment Status for the 16+ Population Series,lfstatus_total_sexbyagebyemploymentstatus16+_series,Employment,Labor Force Status,B23001_001E,B23001
537,Male 16 to 19 Civilian,lfstatus_mciv_16to19,Employment,Labor Force Status,B23001_006E,B23001
538,Male 16 to 19 Civilian Employed,lfstatus_mciv_16to19_employed,Employment,Labor Force Status,B23001_007E,B23001
539,Male 16 to 19 Civilian Unemployed,lfstatus_mciv_16to19_unemployed,Employment,Labor Force Status,B23001_008E,B23001
540,Male 20 and 21 Civilian,lfstatus_mciv_20to21,Employment,Labor Force Status,B23001_013E,B23001
