ID,Data Point,Column Name,Category,Sub Category,ACS Variable,ACS Table
73,Male 26 to 34 Without Health Insurance,healthcoverage_m26to34_wo,Population,Healthcare,B27001_014E,B27001
74,Male 35 to 44 Healthcare Coverage,healthcoverage_m35to44_all,Population,Healthcare,B27001_015E,B27001
75,Male 35 to 44 With Health Insurance,healthcoverage_m35to44_w,Population,Healthcare,B27001_016E,B27001
76,Male 35 to 44 Without Health Insurance,healthcoverage_m35to44_wo,Population,Healthcare,B27001_017E,B27001
77,Male 45 to 54 Healthcare Coverage,healthcoverage_m45to54_all,Population,Healthcare,B27001_018E,B27001
78,Male 45 to 54 With Health Insurance,healthcoverage_m45to54_w,Population,Healthcare,B27001_019E,B27001
79,Male 45 to 54 Without Health Insurance,healthcoverage_m45to54_wo,Population,Healthcare,B27001_020E,B27001
80,Male 55 to 64 Healthcare Coverage,healthcoverage_m55to64_all,Population,Healthcare,B27001_021E,B27001
81,Male 55 to 64 With Health Insurance,healthcoverage_m55to64_w,Population,Healthcare,B27001_022E,B27001
82,Male 55 to 64 Without Health Insurance,healthcoverage_m55to64_wo,Population,Healthcare,B27001_023E,B27001
83,Male 65 to 74 Healthcare Coverage,healthcoverage_m65to74_all,Population,Healthcare,B27001_024E,B27001
84,Male 65 to 74 With Health Insurance,healthcoverage_m65to74_w,Population,Healthcare,B27001_025E,B27001
85,Male 65 to 74 Without Health Insurance,healthcoverage_m65to74_wo,Population,Healthcare,B27001_026E,B27001
86,Male 75 and Over Healthcare Coverage,healthcoverage_m75+_all,Population,Healthcare,B27001_027E,B27001
87,Male 75 and Over With Health Insurance,healthcoverage_m75+_w,Population,Healthcare,B27001_028E,B27001
88,Male 75 and Over Without Health Insurance,healthcoverage_m75+_wo,Population,Healthcare,B27001_029E,B27001
89,Total Female Health Insurance Coverage,healthcoverage_total_fallhealthcare,Population,Healthcare,B27001_030E,B27001
90,Female Under 6 Healthcare Coverage,healthcoverage_fu6_all,Population,Healthcare,B27001_031E,B27001
91,Female Under 6 With Health Insurance,healthcoverage_fu6_w,Population,Healthcare,B27001_032E,B27001
92,Female Under 6 Without Health Insurance,healthcoverage_fu6_wo,Population,Healthcare,B27001_033E,B27001
93,Female 6 to 18  Healthcare Coverage,healthcoverage_f6to18_all,Population,Healthcare,B27001_034E,B27001
94,Female 6 to 18 With Health Insurance,healthcoverage_f6to18_w,Population,Healthcare,B27001_035E,B27001
95,Female 6 to 18 Without Health Insurance,healthcoverage_f6to18_wo,Population,Healthcare,B27001_036E,B27001
96,Female 19 to 25 Healthcare Coverage,healthcoverage_f19to25_all,Population,Healthcare,B27001_037E,B27001
97,Female 19 to 25 With Health Insurance,healthcoverage_f19to25_w,Population,Healthcare,B27001_038E,B27001
98,Female 19 to 25 Without Health Insurance,healthcoverage_f19to25_wo,Population,Healthcare,B27001_039E,B27001
99,Female 26 to 34 Healthcare Coverage,healthcoverage_f26to34_all,Population,Healthcare,B27001_040E,B27001
100,Female 26 to 34 With Health Insurance,healthcoverage_f26to34_w,Population,Healthcare,B27001_041E,B27001
101,Female 26 to 34 Without Health Insurance,healthcoverage_f26to34_wo,Population,Healthcare,B27001_042E,B27001
102,Female 35 to 44 Healthcare Coverage,healthcoverage_f35to44_all,Population,Healthcare,B27001_043E,B27001
103,Female 35 to 44 With Health Insurance,healthcoverage_f35to44_w,Population,Healthcare,B27001_044E,B27001
104,Female 35 to 44 Without Health Insurance,healthcoverage_f35to44_wo,Population,Healthcare,B27001_045E,B27001
105,Female 45 to 54 Healthcare Coverage,healthcoverage_f45to54_all,Population,Healthcare,B27001_046E,B27001
106,Female 45 to 54 With Health Insurance,healthcoverage_f45to54_w,Population,Healthcare,B27001_047E,B27001
107,Female 45 to 54 Without Health Insurance,healthcoverage_f45to54_wo,Population,Healthcare,B27001_048E,B27001
108,Female 55 to 64 Healthcare Coverage,healthcoverage_f55to64_all,Population,Healthcare,B27001_049E,B27001
109,Female 55 to 64 With Health Insurance,healthcoverage_f55to64_w,Population,Healthcare,B27001_050E,B27001
110,Female 55 to 64 Without Health Insurance,healthcoverage_f55to64_wo,Population,Healthcare,B27001_051E,B27001
111,Female 65 to 74 Healthcare Coverage,healthcoverage_f65to74_all,Population,Healthcare,B27001_052E,B27001
112,Female 65 to 74 With Health Insurance,healthcoverage_f65to74_w,Population,Healthcare,B27001_053E,B27001
113,Female 65 to 74 Without Health Insurance,healthcoverage_f65to74_wo,Population,Healthcare,B27001_054E,B27001
114,Female 75 and Over Healthcare Coverage,healthcoverage_f75+_all,Population,Healthcare,B27001_055E,B27001
115,Female 75 and Over With Health Insurance,healthcoverage_f75+_w,Population,Healthcare,B27001_056E,B27001
116,Female 75 and Over Without Health Insurance,healthcoverage_f75+_wo,Population,Healthcare,B27001_057E,B27001
117,Total for Private Healthcare Insurance Coverage Status by Sex by Age,healthcoverage_total_privatehealthcare_series,Population,Healthcare,B27002_001E,B27002
118,Total Male Private Health Insurance Coverage,healthcoverage_total_mprivate,Population,Healthcare,B27002_002E,B27002
119,Male Under 6 Private Healthcare Coverage,healthcoverage_mu6_privateall,Population,Healthcare,B27002_003E,B27002
120,Male Under 6 With Private Health Insurance,healthcoverage_mu6_wprivate,Population,Healthcare,B27002_004E,B27002
121,Male Under 6 Without Private Health Insurance,healthcoverage_mu6_woprivate,Population,Healthcare,B27002_005E,B27002
122,Male 6 to 18  Private Healthcare Coverage,healthcoverage_m6to18_privateall,Population,Healthcare,B27002_006E,B27002
123,Male 6 to 18 With Private Health Insurance,healthcoverage_m6to18_wprivate,Population,Healthcare,B27002_007E,B27002
124,Male 6 to 18 Without Private Health Insurance,healthcoverage_m6to18_woprivate,Population,Healthcare,B27002_008E,B27002
125,Male 19 to 25 Private Healthcare Coverage,healthcoverage_m19to25_privateall,Population,Healthcare,B27002_009E,B27002
126,Male 19 to 25 With Private Health Insurance,healthcoverage_m19to25_wprivate,Population,Healthcare,B27002_010E,B27002
127,Male 19 to 25 Without Private Health Insurance,healthcoverage_m19to25_woprivate,Population,Healthcare,B27002_011E,B27002
128,Male 26 to 34 Private Healthcare Coverage,healthcoverage_m26to34_privateall,Population,Healthcare,B27002_012E,B27002
129,Male 26 to 34 With Private Health Insurance,healthcoverage_m26to34_wprivate,Population,Healthcare,B27002_013E,B27002
130,Male 26 to 34 Without Private Health Insurance,healthcoverage_m26to34_woprivate,Population,Healthcare,B27002_014E,B27002
131,Male 35 to 44 Private Healthcare Coverage,healthcoverage_m35to44_privateall,Population,Healthcare,B27002_015E,B27002
132,Male 35 to 44 With Private Health Insurance,healthcoverage_m35to44_wprivate,Population,Healthcare,B27002_016E,B27002
133,Male 35 to 44 Without Private Health Insurance,healthcoverage_m35to44_woprivate,Population,Healthcare,B27002_017E,B27002
134,Male 45 to 54 Private Healthcare Coverage,healthcoverage_m45to54_privateall,Population,Healthcare,B27002_018E,B27002
135,Male 45 to 54 With Private Health Insurance,healthcoverage_m45to54_wprivate,Population,Healthcare,B27002_019E,B27002
136,Male 45 to 54 Without Private Health Insurance,healthcoverage_m45to54_woprivate,Population,Healthcare,B27002_020E,B27002
137,Male 55 to 64 Private Healthcare Coverage,healthcoverage_m55to64_privateall,Population,Healthcare,B27002_021E,B27002
138,Male 55 to 64 With Private Health Insurance,healthcoverage_m55to64_wprivate,Population,Healthcare,B27002_022E,B27002
139,Male 55 to 64 Without Private Health Insurance,healthcoverage_m55to64_woprivate,Population,Healthcare,B27002_023E,B27002
140,Male 65 to 74 Private Healthcare Coverage,healthcoverage_m65to74_privateall,Population,Healthcare,B27002_024E,B27002
141,Male 65 to 74 With Private Health Insurance,healthcoverage_m65to74_wprivate,Population,Healthcare,B27002_025E,B27002
142,Male 65 to 74 Without Private Health Insurance,healthcoverage_m65to74_woprivate,Population,Healthcare,B27002_026E,B27002
143,Male 75 and Over Private Healthcare Coverage,healthcoverage_m75+_privateall,Population,Healthcare,B27002_027E,B27002
144,Male 75 and Over With Private Health Insurance,healthcoverage_m75+_wprivate,Population,Healthcare,B27002_028E,B27002
145,Male 75 and Over Without Private Health Insurance,healthcoverage_m75+_woprivate,Population,Healthcare,B27002_029E,B27002
146,Total Female Private Health Insurance Coverage,healthcoverage_total_fprivate,Population,Healthcare,B27002_030E,B27002
147,Female Under 6 Private Healthcare Coverage,healthcoverage_fu6_privateall,Population,Healthcare,B27002_031E,B27002
148,Female Under 6 With Private Health Insurance,healthcoverage_fu6_wprivate,Population,Healthcare,B27002_032E,B27002
149,Female Under 6 Without Private Health Insurance,healthcoverage_fu6_woprivate,Population,Healthcare,B27002_033E,B27002
150,Female 6 to 18  Private Healthcare Coverage,healthcoverage_f6to18_privateall,Population,Healthcare,B27002_034E,B27002
151,Female 6 to 18 With Private Health Insurance,healthcoverage_f6to18_wprivate,Population,Healthcare,B27002_035E,B27002
152,Female 6 to 18 Without Private Health Insurance,healthcoverage_f6to18_woprivate,Population,Healthcare,B27002_036E,B27002
153,Female 19 to 25 Private Healthcare Coverage,healthcoverage_f19to25_privateall,Population,Healthcare,B27002_037E,B27002
154,Female 19 to 25 With Private Health Insurance,healthcoverage_f19to25_wprivate,Population,Healthcare,B27002_038E,B27002
155,Female 19 to 25 Without Private Health Insurance,healthcoverage_f19to25_woprivate,Population,Healthcare,B27002_039E,B27002
156,Female 26 to 34 Private Healthcare Coverage,healthcoverage_f26to34_privateall,Population,Healthcare,B27002_040E,B27002
