ID,Data Point,Column Name,Category,Sub Category,ACS Variable
1,Total Age by Sex Series,agebysex_total_series,Population,Sex by Age,B01001_001E
2,Average Household Size,hhsize_avg,Population,Household,B25010_001E
3,Total for Poverty Status in the Past 12 Months by Sex by Age,poverty_total_bysexbyage_series,Population,Poverty,B17001_001E
4,Income in the Past 12 Months Below Poverty Level,poverty_belowlevel,Population,Poverty,B17001_002E
5,Housing Units,units_allhousing,Housing,Housing,B25001_001E
6,Total Occupancy Status Series,occupancy_total_series,Housing,Occupancy,B25002_001E
7,Occupied Units,occupancy_occupiedunits,Housing,Occupancy,B25002_002E
8,Vacant Units,occupancy_vacantunits,Housing,Occupancy,B25002_003E
9,Total Tenure Series,tenure_total_series,Housing,Tenure,B25003_001E
10,Owner Occupied Units,tenure_owneroccunits,Housing,Tenure,B25003_002E
11,Renter Occupied Units,tenure_renteroccunits,Housing,Tenure,B25003_003E
12,Total for Units in Structure,units_total_series,Housing,Units in Structure,B25024_001E
13,1 Detached Unit in Structure,units_one_detached,Housing,Units in Structure,B25024_002E
14,1 Attached Unit in Structure,units_one_attached,Housing,Units in Structure,B25024_003E
15,2 Units in Structure,units_two,Housing,Units in Structure,B25024_004E
16,3 or 4 Units in Structure,units_threetofour,Housing,Units in Structure,B25024_005E
17,5 to 9 Units in Structure,units_fivetonine,Housing,Units in Structure,B25024_006E
18,10 to 19 Units in Structure,units_tentonineteen,Housing,Units in Structure,B25024_007E
19,20 to 49 Units in Structure,units_twentytofortynine,Housing,Units in Structure,B25024_008E
20,50 or More Units in Structure,units_fiftyormore,Housing,Units in Structure,B25024_009E
21,Mobile Home Unit,units_mobilehome,Housing,Units in Structure,B25024_010E
22,"Boat, RV, Van etc. Unit",units_boatrvvanetc,Housing,Units in Structure,B25024_011E
23,Total Household Type Series,hhtype_total_series,Housing,Household Type,B11001_001E
24,Family Households,hhtype_familyhh,Housing,Household Type,B11001_002E
25,Family Household Married Couple Family,hhtype_familyhh_marriedcouplefam,Housing,Household Type,B11001_003E
26,Family Households Other Family,hhtype_familyhh_otherfam,Housing,Household Type,B11001_004E
27,Family Households Male Householder No Spouse,hhtype_familyhh_malenospouse,Housing,Household Type,B11001_005E
28,Family Households Female Householder No Spouse,hhtype_familyhh_femalenospouse,Housing,Household Type,B11001_006E
29,Nonfamily Households,hhtype_nonfamhh,Housing,Household Type,B11001_007E
30,Nonfamily Household Householder Living Alone,hhtype_nonfamhh_householderalone,Housing,Household Type,B11001_008E
31,Nonfamily Household Householder Not Living Alone,hhtype_nonfamhh_householdernotalone,Housing,Household Type,B11001_009E
32,Median Household Income,hhincome_median,Housing,Housing,B19013_001E
33,Household Income Total Series,hhincome_total_series,Housing,Household Income,B19001_001E
34,"Household Income Less than $10,000",hhincome_lessthan10000,Housing,Household Income,B19001_002E
35,"Household Income 10,000 to 14,999",hhincome_10to14999,Housing,Household Income,B19001_003E
36,"Household Income 15,000 to 19,999",hhincome_15to19999,Housing,Household Income,B19001_004E
37,"Household Income 20,000 to 24,999",hhincome_20to24999,Housing,Household Income,B19001_005E
38,"Household Income 25,000 to 29,999",hhincome_25to29999,Housing,Household Income,B19001_006E
39,"Household Income 30,000 to 34,999",hhincome_30to34999,Housing,Household Income,B19001_007E
40,"Household Income 35,000 to 39,999",hhincome_35to39999,Housing,Household Income,B19001_008E
41,"Household Income 40,000 to 44,999",hhincome_40to44999,Housing,Household Income,B19001_009E
42,"Household Income 45,000 to 49,999",hhincome_45to49999,Housing,Household Income,B19001_010E
43,"Household Income 50,000 to 59,999",hhincome_50to59999,Housing,Household Income,B19001_011E
44,"Household Income 60,000 to 74,999",hhincome_60to74999,Housing,Household Income,B19001_012E
45,"Household Income 75,000 to 99,999",hhincome_75to99999,Housing,Household Income,B19001_013E
46,"Household Income 100,000 to 124,999",hhincome_100to124999,Housing,Household Income,B19001_014E
47,"Household Income 125,000 to 149,999",hhincome125to149999,Housing,Household Income,B19001_015E
48,"Household Income 150,000 to 199,999",hhincome150to199999,Housing,Household Income,B19001_016E
